F1_mm_mJy,alpha1_3mm,region,d_pc
108,2.0,"Taurus",140
85,1.9,"Taurus",140
314,2.5,"Taurus",140
129,2.5,"Taurus",140
313,2.4,"Taurus",140
298,2.7,"Taurus",140
28,2.0,"Taurus",140
423,2.6,"Taurus",140
383,2.3,"Taurus",140
50,2.1,"Taurus",140
57,1.9,"Taurus",140
19,2.3,"Taurus",140
168,2.2,"Taurus",140
69,2.5,"Taurus",140
209,2.5,"Taurus",140
153,2.3,"Taurus",140
220,2.2,"Taurus",140
158,2.1,"Taurus",140
29,1.9,"Taurus",140
27,2.1,"Taurus",140
151,2.6,"Taurus",140
36,2.1,"Taurus",140
118,2.2,"Taurus",140
333,2.5,"Taurus",140
79,2.5,"Ophiuchus",120
405,2.3,"Ophiuchus",120
664,2.2,"Ophiuchus",120
220,2.9,"Ophiuchus",120
84,2.1,"Ophiuchus",120
64,2.2,"Ophiuchus",120
88,1.8,"Ophiuchus",120
168,2.2,"Ophiuchus",120
111,2.3,"Ophiuchus",120
250,2.4,"Ophiuchus",120
441,2.4,"Ophiuchus",120
215,1.9,"Ophiuchus",120
151,2.5,"Ophiuchus",120
564,2.2,"Ophiuchus",120
123,2.4,"Ophiuchus",120
40,1.8,"Ophiuchus",120
156,1.9,"Ophiuchus",120
265.5,3.14,"Chamaeleon",160
253.0,2.84,"Chamaeleon",160
78.2,3.01,"Chamaeleon",160
152.8,2.83,"Chamaeleon",160
226.2,3.70,"Chamaeleon",160
768.7,2.64,"Chamaeleon",160
56.1,2.43,"Lupus",150
193.1,2.50,"Lupus",150
41.8,2.14,"Lupus",150
553.6,3.15,"Lupus",150
370.3,2.63,"Lupus",150
233.2,3.83,"Lupus34",200
146.2,2.31,"Lupus34",200
99.6,2.48,"Lupus34",200
40.3,2.63,"Lupus34",200
103.3,2.14,"Lupus34",200
52.1,2.38,"Serpens",260
206.1,2.81,"Isolated TCha ",66
351.9,3.43,"Isolated RXJ ",184
14.5,1.8,"Orion",420
63.9,3.4,"Orion",420
24.1,2.34,"Orion",420
44.2,2.0,"Orion",420
64.2,2.34,"Orion",420
104.0,2.2,"Orion",420
28.0,1.9,"Orion",420
